French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
